,code,name,this_year_yield,past_week_yield,past_month_yield,past_quarter_yield,past_half_year_yield,past_year_yield
289,sh.600050,中国联通,9.94%,4.63%,4.63%,13.87%,5.04%,52.68%
290,sh.600660,福耀玻璃,6.28%,2.83%,3.68%,14.23%,1.89%,-3.55%
291,sh.601899,紫金矿业,15.57%,-0.16%,-2.09%,15.68%,4.64%,35.22%
292,sh.601689,拓普集团,12.54%,-0.96%,-5.79%,19.70%,0.36%,-22.11%
293,sz.000786,北新建材,13.75%,6.69%,16.95%,20.49%,-5.84%,9.63%
294,sz.300782,卓胜微,-1.41%,-3.38%,-1.32%,21.10%,-5.33%,14.35%
295,sh.601688,华泰证券,37.76%,-5.10%,11.73%,22.51%,30.41%,24.75%
296,sh.601799,星宇股份,4.15%,-0.11%,2.33%,23.61%,-5.59%,-11.43%
297,sz.300979,华利集团,-8.95%,-4.94%,-4.92%,25.15%,-10.03%,-10.87%
298,sh.601138,工业富联,129.22%,2.15%,-9.81%,30.92%,121.83%,126.06%
299,sz.002920,德赛西威,25.72%,-4.84%,-7.25%,31.65%,21.44%,-14.53%
